Gene	CellType	subinf
CD14	monocytes	classical
LYZ	monocytes	-
FCGR3A	monocytes	non-calssical
MS4A7	monocytes	non-calssical
CD3E	Tcell	T
CD3D	Tcell	T
CD4	Tcell	CD4T
IL7R	Tcell	Naive
CCR7	Tcell	Naive
S100A4	Tcell	Memory
FOXP3	Tcell	Treg
IL2RA	Tcell	-
CD8A	Tcell	CD8T
CD8B	Tcell	CD8T
GZMK	Tcell	Effector
GZMH	Tcell	Effector
PRF1	Tcell	Effector
CCL5	Tcell	Effector
LAG3	Tcell	exhausted
ITGB1	Tcell	CD8Tmemory
SLC4A10	Tcell	MAIT
TRAV1-2	Tcell	MAIT
TRGV9	Tcell	gdT
TRDV2	Tcell	gdT
IL3RA	DC	-
CLEC4C	DC	-
NRP1	DC	-
FCER1A	DC	mDC
CD1C	DC	mDC
CST3	DC	-
FCGR3A	DC	pDC
LILRA4	DC	pDC
FCGR3A	NK	-
NCAM1	NK	-
KLRB1	NK	-
KLRC1	NK	-
KLRD1	NK	-
KLRF1	NK	-
GNLY	NK	-
NKG7	NK	-
PPBP	Platelet	-
CD79A	Bcell	B
CD79B	Bcell	B
MS4A1	Bcell	B
CD27	Bcell	naive
SDC1	plasma	-
PTPRC	plasma	-
MZB1	plasma	-
XBP1	plasma	-
PTPRC	ALL	-
