Gene	CellType
CD14	monocytes
LYZ	monocytes
FCGR3A	monocytes
MS4A7	monocytes
CD3E	Tcell
CD3D	Tcell
CD4	Tcell
IL7R	Tcell
CCR7	Tcell
CD4	Tcell
S100A4	Tcell
FOXP3	Tcell
IL2RA	Tcell
CD8A	Tcell
CD8B	Tcell
NCAM1	Tcell
IL3RA	DC
CLEC4C	DC
NRP1	DC
FCER1A	DC
CST3	DC
FCGR3A	NK
NCAM1	NK
KLRB1	NK
KLRC1	NK
KLRD1	NK
KLRF1	NK
GNLY	NK
NKG7	NK
PPBP	Platelet
CD79A	Bcell
CD79B	Bcell
MS4A1	Bcell
SDC1	plasma
PTPRC	plasma
IGKC	plasma
MS4A1	plasma
PTPRC	ALL
CD79A	ALL
CD3E	ALL
CD14	ALL
LYZ	ALL
FCGR3A	ALL
GNLY	ALL
NKG7	ALL
CST3	ALL
NCAM1	ALL
CD8A	ALL
GZMB	ALL
